k	Fonction	Dist	tpsExe	Trajet	Iter
1	f2	1421.6868749814091	0.10834399999998823	[1 5 6 4 7 8 9 0 3 2]	366
1	f1	1421.686874981409	0.10969000000000051	[8 9 0 3 2 1 5 6 4 7]	357
1	f3	2797.5139561767082	0.11421300000000656	[7 1 8 6 3 2 0 5 9 4]	499
1	f2	1421.6868749814091	0.1113430000000335	[0 3 2 1 5 6 4 7 8 9]	69
1	f1	1421.6868749814091	0.11687100000000328	[4 6 5 1 2 3 0 9 8 7]	239
1	f3	2016.8820589102777	0.1165149999999926	[3 0 8 5 6 4 7 9 2 1]	497
1	f2	1421.6868749814091	0.10817500000001701	[9 8 7 4 6 5 1 2 3 0]	47
1	f1	1632.9153184670413	0.1097740000000158	[8 0 1 5 6 4 7 3 2 9]	140
1	f3	1780.7662189405346	0.11637200000001258	[4 0 5 1 2 3 9 8 7 6]	498
1	f2	1421.6868749814091	0.11309699999998202	[4 6 5 1 2 3 0 9 8 7]	64
